# Table of load Green's functions for a unit point load of mass (1 kg)
#
# theta: geocentric angle
# uG_Pagiatakis: vertical displacement (Pagiatakis, 1990)
# uG_ReCalc:     vertical displacement evaluated by load Love numbers provided by Pagiatakis (1990)
# uG_SAL:        vertical displacement of the seafloor relative to the geoid (Vinogradova et al. 2015)
# SAL: Self-Attraction and Loading
#
# Refferences
# Pagiatakis (1990) The response of a realistic earth to ocean tide loading, Geophys. J. Int., 103, 541-560.
# Na and Baek (2011) Computation of the load Love number and the load Green's function for an elastic and spherically symmetric earth, J. Korean Physical Soc., 58 (5), 1195-1205.
# Vinogradova et al. (2015) Dynamic adjustment of the ocean circulation to self-attraction and loading effects, J. Phys. Oceano., 45, 678-689.
theta[deg],uG_Pagiatakis[m],uG_ReCalc[m],uG_SAL[m]
0.0001,-3.8313798377e-12,-3.8324943778e-12,-4.44352998944e-12
0.001,-3.8110551694e-13,-3.81077278745e-13,-4.42168947825e-13
0.01,-3.60915746887e-14,-3.59480853542e-14,-4.20457468604e-14
0.02,-1.69540109148e-14,-1.68104492548e-14,-1.98538046813e-14
0.03,-1.06119949498e-14,-1.04771164353e-14,-1.25030722718e-14
0.04,-7.47740949241e-15,-7.35654295261e-15,-8.87409121841e-15
0.06,-4.42496207499e-15,-4.34318266862e-15,-5.3525930841e-15
0.08,-2.98158836922e-15,-2.94339940565e-15,-3.69897741911e-15
0.1,-2.17689787929e-15,-2.23742899507e-15,-2.84078296541e-15
0.15,-1.24376178099e-15,-1.27711282367e-15,-1.67772833225e-15
0.2,-8.66631265544e-16,-8.92328911902e-16,-1.19169856597e-15
0.25,-6.67548441641e-16,-6.54972977569e-16,-8.93653643054e-16
0.3,-5.27092393229e-16,-5.19848191254e-16,-7.18099344081e-16
0.35,-4.24402713285e-16,-4.38380626628e-16,-6.07775311484e-16
0.4,-3.51837095276e-16,-3.6940310278e-16,-5.17178685284e-16
0.45,-3.01432617379e-16,-3.15270517361e-16,-4.462534641e-16
0.5,-2.6618120892e-16,-2.72683164258e-16,-3.90250973499e-16
0.55,-2.40952785179e-16,-2.41490153656e-16,-3.48097681338e-16
0.6,-2.21922594954e-16,-2.18244381522e-16,-3.1573123317e-16
0.8,-1.64598336923e-16,-1.61987550649e-16,-2.34465216251e-16
1.0,-1.24205306993e-16,-1.24752690153e-16,-1.82304983093e-16
1.2,-9.6841948264e-17,-9.69058977127e-17,-1.44564765763e-16
1.4,-7.72260310454e-17,-7.63300695512e-17,-1.16956750905e-16
1.6,-6.35707960184e-17,-6.25681684353e-17,-9.79471170584e-17
1.8,-5.3434692085e-17,-5.32520790027e-17,-8.45665086951e-17
2.0,-4.54697003953e-17,-4.51596368712e-17,-7.32365815248e-17
2.5,-3.13251701774e-17,-3.07764037523e-17,-5.30609011443e-17
3.0,-2.30795901466e-17,-2.26438388986e-17,-4.10962717463e-17
4.0,-1.39170018516e-17,-1.34990794023e-17,-2.72021286862e-17
5.0,-9.43028635966e-18,-8.99804276517e-18,-1.98769470766e-17
6.0,-6.94576053638e-18,-6.51042457625e-18,-1.55194822311e-17
7.0,-5.4280482643e-18,-5.00116683435e-18,-1.2682321001e-17
8.0,-4.43927627722e-18,-4.01361844166e-18,-1.07044197224e-17
9.0,-3.74817260422e-18,-3.31319022586e-18,-9.23813882716e-18
10.0,-3.23935642452e-18,-2.79063975615e-18,-8.10656732243e-18
12.0,-2.53533749402e-18,-2.07892828098e-18,-6.49018611601e-18
14.0,-2.04852614377e-18,-1.60146659245e-18,-5.3763229453e-18
16.0,-1.69353499915e-18,-1.25704352182e-18,-4.56299080642e-18
18.0,-1.41443303686e-18,-9.8205540705e-19,-3.93044179526e-18
20.0,-1.18800384142e-18,-7.507660684e-19,-3.41917353118e-18
25.0,-7.60466349965e-19,-3.40538955142e-19,-2.52324948995e-18
30.0,-4.55056732595e-19,-4.29850361852e-20,-1.92144169215e-18
35.0,-2.29198534994e-19,1.65489749786e-19,-1.50904340719e-18
40.0,-6.00297171951e-20,3.22359873695e-19,-1.20833502939e-18
50.0,1.60798703138e-19,5.03719485296e-19,-8.35599189398e-19
60.0,2.5780552703e-19,5.52244799522e-19,-6.52464088693e-19
70.0,2.74293089805e-19,5.19751006641e-19,-5.70715905628e-19
80.0,2.35847091152e-19,4.3040200981e-19,-5.54775394946e-19
90.0,1.66574346341e-19,3.05142650449e-19,-5.77976366927e-19
100.0,8.58852133652e-20,1.69692188791e-19,-6.13356949114e-19
110.0,1.30810415406e-21,3.25099196424e-20,-6.55594376641e-19
120.0,-7.91403013208e-20,-9.78792257472e-20,-6.99104992182e-19
130.0,-1.51086029794e-19,-2.14809164776e-19,-7.38236950921e-19
140.0,-2.13267695118e-19,-3.1555508526e-19,-7.72254173057e-19
150.0,-2.63201456666e-19,-3.96268450094e-19,-7.99598661292e-19
160.0,-2.98968226368e-19,-4.56008238874e-19,-8.20270111524e-19
170.0,-3.19788182811e-19,-4.90873742992e-19,-8.31192216367e-19
180.0,-3.2650370526e-19,-5.16496447262e-19,-8.48397230632e-19
